Col 0,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11,Col 12
"[0.153874, 0.076635]","[5.204354, 6.461433]","[39.754071, 65.477796]","[22.572406, 16.988232]","[65.329798, 52.619922]","[70.000000, 70.000000]","[340.000000, 340.000000]","[0.000574, -0.000095]","[61930.997079, 45845.924024]","[28705.940831, 28873.857653]","[90636.937910, 74719.781676]","[35787.444541, 85554.542265]","[-54849.493369, 10834.760589]"
"[0.024185, 0.224976]","[6.032427, 5.528799]","[58.700867, 54.342629]","[10.178660, 11.284748]","[49.731581, 68.730392]","[60.000000, 80.000000]","[300.000000, 380.000000]","[-0.002109, 0.003490]","[27604.643964, 30694.669018]","[25850.344485, 34450.756257]","[53454.988448, 65145.425275]","[59830.480329, 61511.506477]","[6375.491880, -3633.918798]"
"[0.121059, 0.118455]","[5.720730, 5.763191]","[56.922413, 57.777840]","[10.520497, 10.937478]","[59.432932, 58.995055]","[70.000000, 70.000000]","[340.000000, 340.000000]","[0.000254, 0.000232]","[28566.622421, 29681.505091]","[30442.859743, 30433.480902]","[59009.482164, 60114.985992]","[59832.508488, 61508.773398]","[823.026324, 1393.787406]"
"[0.057589, 0.184509]","[5.814660, 5.695190]","[58.548426, 55.644045]","[11.600125, 10.017376]","[53.313558, 64.966801]","[65.000000, 75.000000]","[310.000000, 370.000000]","[-0.000222, 0.001725]","[31463.004826, 27223.923336]","[27677.615902, 32923.931039]","[59140.620728, 60147.854374]","[59414.019506, 61927.967300]","[273.398778, 1780.112926]"
