Col 0,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11
"[0.946022, 0.931149]","[5.237128, 5.401710]","[42.890654, 51.107501]","[11.614504, 15.221542]","[118.385496, 114.778458]","[25591.323148, 75344.080400]","[7729.598005, 10504.220781]","[612.770518, 2354.605543]","[130.000000, 130.000000]","[620.000000, 620.000000]","[8409.378839, 8257.514016]","[15111.955163, 15111.955163]"
"[0.231281, 2.010533]","[5.718890, 4.999317]","[51.442581, 40.338241]","[6.559174, 15.977581]","[73.440826, 164.022419]","[50189.865747, 51472.647780]","[3981.513258, 11160.032485]","[2425.636816, 71.701396]","[80.000000, 180.000000]","[420.000000, 820.000000]","[2055.419286, 17859.674687]","[10909.389793, 19314.520534]"
"[0.946567, 0.945487]","[5.232442, 5.241814]","[42.637070, 43.143504]","[11.508487, 11.720341]","[118.491513, 118.279659]","[51211.586099, 51153.761980]","[9336.878633, 6124.686608]","[559.014927, 666.370614]","[130.000000, 130.000000]","[620.000000, 620.000000]","[8414.816171, 8404.026160]","[13434.985333, 16787.515153]"
"[0.982157, 0.906327]","[4.478640, 6.079830]","[48.090019, 40.164908]","[9.427675, 14.865203]","[120.572325, 115.134797]","[50582.982056, 51492.238258]","[9467.345845, 6822.093035]","[1714.949361, 34.957780]","[130.000000, 130.000000]","[540.000000, 700.000000]","[8663.425896, 8114.868239]","[15111.955163, 15111.955163]"
"[0.491101, 1.503090]","[5.057620, 5.370001]","[47.312672, 40.956443]","[12.070911, 11.610821]","[92.929089, 143.389179]","[50673.405386, 51402.670350]","[9222.802359, 7076.463574]","[775.082421, 304.124913]","[105.000000, 155.000000]","[470.000000, 770.000000]","[4351.637754, 13384.700842]","[10918.029878, 19305.880448]"
"[0.969476, 0.921789]","[4.744278, 5.755555]","[44.744116, 41.225753]","[9.855264, 13.590713]","[120.144736, 116.409287]","[50970.260390, 51372.133506]","[8355.465685, 7167.403022]","[1003.348815, 260.440759]","[130.000000, 130.000000]","[570.000000, 670.000000]","[8580.442312, 8230.425893]","[15111.955163, 15111.955163]"
"[0.946320, 0.945747]","[5.234301, 5.239913]","[42.732308, 43.048906]","[11.550554, 11.677422]","[118.449446, 118.322578]","[51200.720517, 51164.571704]","[7676.128673, 7783.035765]","[1638.388887, -413.864401]","[130.000000, 130.000000]","[620.000000, 620.000000]","[8412.403065, 8406.549758]","[14066.370344, 16157.327682]"
